Year,Origin State,Material Group Description,Material Description,Purchased Quantity LB,Purchased Value $
2012,AK,"FISH, FROZEN",FISH AK PLCK FRZ BULK CTN-49 LBS,1199520.0,2051179.2
2012,AK,"FISH, CANNED",SALMON PINK CAN-24/14.75 OZ,35400.0,82800.0
2012,AK,"FISH, CANNED",SALMON PINK CAN-24/14.75 OZ,247800.0,626688.0
2012,AK,"FISH, CANNED",SALMON PINK CAN-24/14.75 OZ,106200.0,268016.0
2012,AK,"FISH, CANNED",SALMON PINK CAN-24/14.75 OZ,672600.0,1710112.0
2012,AK,"FISH, FROZEN",FISH AK PLCK FRZ BULK CTN-49 LBS,39984.0,65173.92
2012,AK,"FISH, FROZEN",FISH AK PLCK FRZ BULK CTN-49 LBS,1239504.0,2000799.36
2012,AK,"FISH, FROZEN",FISH AK PLCK FRZ BULK CTN-49 LBS,159936.0,273490.56
2012,AK,"FISH, CANNED",SALMON PINK CAN-24/14.75 OZ,35400.0,93696.0
2012,AK,"FISH, FROZEN",FISH AK PLCK FRZ BULK CTN-49 LBS,79968.0,136745.28
2012,AK,"FISH, FROZEN",FISH AK PLCK FRZ BULK CTN-49 LBS,119952.0,195521.76
2012,AK Total,,,3936264.0,7504222.08
2012,AL,"CHICKEN, BULK",CHICKEN SMALL CHILLED -BULK,290880.0,220748.8
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,2736720.0,2016688.96
2012,AL,"CHICKEN, COOKED",CHICKEN FAJITA STRIPS CTN-30 LB,180.0,392.59
2012,AL,"CHICKEN, COOKED",CHICKEN FAJITA STRIPS CTN-30 LB,1169820.0,2519186.82
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,1656000.0,1227758.4
2012,AL,"CHICKEN, COOKED",CHICKEN FAJITA STRIPS CTN-30 LB,30.0,65.7
2012,AL,"CHICKEN, COOKED",CHICKEN FAJITA STRIPS CTN-30 LB,1132650.0,2454712.14
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,1836000.0,1374980.4
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,981720.0,733246.56
2012,AL,"CHICKEN, BULK",CHICKEN LEGS CHILLED -BULK,618120.0,458274.1
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,3312000.0,2473732.8
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,654480.0,488831.04
2012,AL,"CHICKEN, COOKED",CHICKEN FAJITA STRIPS CTN-30 LB,273000.0,595487.1
2012,AL,"CHICKEN, COOKED",CHICKEN FAJITA STRIPS CTN-30 LB,156000.0,333255.0
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,1512000.0,1132336.8
2012,AL,"CHICKEN, BULK",CHICKEN LEGS CHILLED -BULK,216000.0,169920.0
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,290880.0,217840.0
2012,AL,"CHICKEN, BULK",CHICKEN SMALL CHILLED -BULK,363600.0,294843.2
2012,AL,"CHICKEN, COOKED",CHICKEN FAJITA STRIPS CTN-30 LB,117000.0,248543.09
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,1620000.0,1213218.0
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,72000.0,51040.8
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,3276000.0,2322356.4
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,1116000.0,791132.4
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,2016000.0,1429142.4
2012,AL,"CHICKEN, BULK",CHICKEN LEGS CHILLED -BULK,216000.0,160250.4
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,1418040.0,995322.12
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,3600000.0,2609640.0
2012,AL,"CHICKEN, BULK",CHICKEN LEGS CHILLED -BULK,1116000.0,780220.8
2012,AL,"CHICKEN, COOKED",CHICKEN FAJITA STRIPS CTN-30 LB,1092000.0,2085774.6
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,3600000.0,2552040.0
2012,AL,"CHICKEN, BULK",CHICKEN LEGS CHILLED -BULK,144000.0,96570.01
2012,AL,"CHICKEN, COOKED",CHICKEN FAJITA STRIPS CTN-30 LB,150.0,310.07
2012,AL,"CHICKEN, COOKED",CHICKEN FAJITA STRIPS CTN-30 LB,1169850.0,2361958.94
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,3564000.0,2597799.6
2012,AL,"CHICKEN, BULK",CHICKEN LEGS CHILLED -BULK,1152000.0,790452.0
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,5148000.0,3917257.2
2012,AL,"CHICKEN, BULK",CHICKEN LEGS CHILLED -BULK,36000.0,25650.0
2012,AL,"CHICKEN, COOKED",CHICKEN FAJITA STRIPS CTN-30 LB,312000.0,642731.7
2012,AL,"CHICKEN, BULK",CHICKEN LARGE CHILLED -BULK,4428000.0,3455341.2
2012,AL,"CHICKEN, BULK",CHICKEN LEGS CHILLED -BULK,216000.0,160380.0
2012,AL,"CHICKEN, COOKED",CHICKEN FAJITA STRIPS CTN-30 LB,351000.0,708103.5
2012,AL Total,,,52980120.0,46707535.64000001
2012,AR,"RICE, GRAIN",RICE BRN US#1 LONG PARBOILED BAG-25 LB,756000.0,368491.22
2012,AR,"RICE, GRAIN",RICE BRN US#1 LONG PARBOILED PKG-24/2 LB,3150000.0,1705515.0
2012,AR,"RICE, GRAIN",RICE BRN US#1 LONG PARBOILED PKG-30/2 LB,210000.0,121359.0
2012,AR,"RICE, GRAIN",RICE US#1 LONG GRAIN PARBOILED BAG-25 LB,462000.0,154337.43
2012,AR,"RICE, GRAIN",RICE US#1 LONG GRAIN PARBOILED BAG-25 LB,168000.0,61034.4
2012,AR,"RICE, GRAIN",RICE US#1 LONG GRAIN PARBOILED BAG-25 LB,42000.0,17686.2
2012,AR,"RICE, GRAIN",RICE US#1 LONG GRAIN PARBOILED BAG-50 LB,84000.0,30416.4
2012,AR,"RICE, GRAIN",RICE US#1 LONG GRAIN PARBOILED BAG-50 LB,42000.0,13965.0
2012,AR,"RICE, GRAIN",RICE US#1 LONG GRAIN PARBOILED BAG-50 LB,42000.0,16102.8
2012,AR,"RICE, GRAIN",RICE US#2 LONG GRAIN BAG-25 LB,42000.0,12999.01
2012,AR,"RICE, GRAIN",RICE US#2 LONG GRAIN BAG-25 LB,336000.0,99792.0
2012,AR,"RICE, GRAIN",RICE US#2 LONG GRAIN PKG-24/2 LB,4452000.0,1503730.2
2012,AR,"RICE, GRAIN",RICE US#2 LONG GRAIN PKG-24/2 LB,7938000.0,2921893.83
2012,AR,"RICE, GRAIN",RICE US#2 LONG GRAIN PKG-24/2 LB,2562000.0,943740.0
2012,AR,"RICE, GRAIN",RICE US#2 LONG GRAIN PKG-30/2 LB,2940000.0,956041.8
2012,AR,"RICE, GRAIN",RICE US#2 LONG GRAIN PKG-30/2 LB,5670000.0,1997847.6
2012,AR,"RICE, GRAIN",RICE US#2 LONG GRAIN PKG-30/2 LB,630000.0,242205.6
2012,AR,"RICE, GRAIN",RICE US#2 MEDIUM GRAIN PKG-24/2 LB,714000.0,260450.4
2012,AR,"RICE, GRAIN",RICE US#2 MEDIUM GRAIN PKG-24/2 LB,756000.0,300972.0
2012,AR,"RICE, GRAIN",RICE US#2 MEDIUM GRAIN PKG-30/2 LB,504000.0,181276.2
2012,AR,"RICE, GRAIN",RICE US#2 MEDIUM GRAIN PKG-30/2 LB,126000.0,52365.6
2012,AR,"CHICKEN, BULK",CHICKEN THIGHS CHILLED -BULK,72720.0,56052.58
2012,AR,"CHICKEN, BULK",CHICKEN SMALL CHILLED -BULK,1440000.0,1072512.0
2012,AR,"VEGETABLE, CANNED",BEANS VEGETARIAN CAN-6/10,4050.0,1662.0
2012,AR,"VEGETABLE, CANNED",BEANS PINTO CAN-6/10,3240.0,1240.0
2012,AR,"VEGETABLE, CANNED",BEANS BLACKEYE CAN-6/10,3240.0,1428.0
2012,AR,"VEGETABLE, CANNED",BEANS REFRIED CAN-6/10,870912.0,408326.4
2012,AR,"VEGETABLE, CANNED",BEANS VEGETARIAN CAN-6/10,342832.5,148386.54
2012,AR,"VEGETABLE, CANNED",BEANS PINTO CAN-6/10,658570.5,265964.54
2012,AR,"VEGETABLE, CANNED",BEANS SMALL RED CAN-6/10,454896.0,185025.6
2012,AR,"VEGETABLE, CANNED",BEANS BLACKEYE CAN-6/10,801576.0,366229.92
2012,AR,"VEGETABLE, CANNED",BEANS VEGETARIAN CAN-6/10,3037.5,1246.5
2012,AR,"VEGETABLE, CANNED",BEANS PINTO CAN-6/10,3037.5,1162.5
2012,AR,"CHICKEN, COOKED",CHICKEN DICED CTN-40 LB,320000.0,758944.0
2012,AR,"CHICKEN, COOKED",CHICKEN OVEN ROASTED FRZ 8 PC CTN-30 LB,360000.0,850626.0
